pid,captureTime,userName,startInstant,totalCpuDuration,command,parentPid,hasChildren
3932,1717529975.87016,None,1717525703.7541933,4.046875,,808,False
3940,1717529975.87016,None,1717525703.7553513,2.1875,,808,True
4036,1717529975.87016,None,1717525703.7753973,0.046875,,808,False
4044,1717529975.87016,None,1717525706.5573514,0.390625,,808,False
4052,1717529975.87016,None,1717525703.7780545,0.015625,,808,False
4088,1717529975.87016,None,1717525703.782056,0.65625,,808,False
4124,1717529975.87016,None,1717525703.8021803,83.515625,,808,False
4140,1717529975.87016,None,1717525703.8029296,0.03125,,808,True
4180,1717529975.87016,None,1717525703.808058,0.046875,,808,False
4200,1717529975.87016,None,1717525703.8186553,0.09375,,808,False
4224,1717529975.87016,None,1717525703.8345015,0.015625,,808,True
4232,1717529975.87016,None,1717525703.8420193,0.078125,,808,False
4252,1717529975.87016,None,1717525703.8501036,0.1875,,808,False
4272,1717529975.87016,None,1717525703.8578205,0.015625,,808,False
4480,1717529975.87016,DESKTOP-JII336K\claud,1717525717.084478,19.609375,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22404.1401.2.0_x64__8wekyb3d8bbwe\WinStore.App.exe -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca,964,False
4540,1717529975.87016,None,1717525703.9395995,0.03125,,808,False
4584,1717529975.87016,DESKTOP-JII336K\claud,1717525823.024076,0.34375,C:\Windows\System32\svchost.exe -k UnistackSvcGroup,808,False
4592,1717529975.87016,DESKTOP-JII336K\claud,1717525705.2975163,32.765625,E:\SteamLibrary\steamapps\common\wallpaper_engine\wallpaper32.exe -safe -silent -service,4140,True
4704,1717529975.87016,DESKTOP-JII336K\claud,1717525866.4383671,0.03125,C:\Program Files\Mozilla Firefox\firefox.exe -contentproc --channel=5344 -parentBuildID 20240526221752 -sandboxingKind 0 -prefsHandle 4844 -prefMapHandle 5212 -prefsLen 40793 -prefMapSize 252426 -win32kLockedDown -appDir C:\Program Files\Mozilla Firefox\browser - {3974dbc6-560f-408e-b6c7-b5d52829338f} 10520 \\.\pipe\gecko-crash-server-pipe.10520 utility,10520,False
4792,1717529975.87016,DESKTOP-JII336K\claud,1717526133.0082514,14.3125,C:\Program Files\Mozilla Firefox\firefox.exe -contentproc --channel=6928 -childID 15 -isForBrowser -prefsHandle 7612 -prefMapHandle 5932 -prefsLen 34256 -prefMapSize 252426 -jsInitHandle 1484 -jsInitLen 231800 -parentBuildID 20240526221752 -win32kLockedDown -appDir C:\Program Files\Mozilla Firefox\browser - {5817eb4a-d0d7-4a6e-9fac-cf099db7c9d8} 10520 \\.\pipe\gecko-crash-server-pipe.10520 tab,10520,False
4984,1717529975.87016,None,1717525704.1739924,1.40625,,4224,True
5000,1717529975.87016,None,1717525704.1835177,0.0625,,4984,False
5004,1717529975.87016,None,1717525705.4127576,2.796875,,808,True
5052,1717529975.87016,DESKTOP-JII336K\claud,1717525705.3302693,1.34375,C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc,808,False
5056,1717529975.87016,None,1717529974.1144457,0.015625,,5004,False
5148,1717529975.87016,DESKTOP-JII336K\claud,1717525705.4232132,0.46875,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},1516,False
5204,1717529975.87016,None,1717525704.3094797,23.28125,,964,False
5676,1717529975.87016,None,1717525704.591194,0.0,,808,False
5688,1717529975.87016,None,1717525704.6066566,1.34375,,808,False
5748,1717529975.87016,DESKTOP-JII336K\claud,1717526571.8265681,1.640625,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=renderer --extension-process --no-appcompat-clear --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --lang=es --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1717525692604091 --launch-time-ticks=879221214 --field-trial-handle=3908,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=6020 /prefetch:2,13680,False
5816,1717529975.87016,DESKTOP-JII336K\claud,1717525723.8624313,0.359375,C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe,5564,False
5952,1717529975.87016,DESKTOP-JII336K\claud,1717525705.3591475,1.09375,sihost.exe,1780,False
5968,1717529975.87016,DESKTOP-JII336K\claud,1717525705.4243722,43.84375,C:\Program Files (x86)\MSI Afterburner\MSIAfterburner.exe /s,1516,False
6068,1717529975.87016,DESKTOP-JII336K\claud,1717526571.1880312,2.46875,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=renderer --extension-process --no-appcompat-clear --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --lang=es --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=15 --time-ticks-at-unix-epoch=-1717525692604091 --launch-time-ticks=878582685 --field-trial-handle=3984,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=4016 /prefetch:2,13680,False
6152,1717529975.87016,DESKTOP-JII336K\claud,1717525705.433643,0.390625,taskhostw.exe USER,1516,False
6200,1717529975.87016,DESKTOP-JII336K\claud,1717525705.4597695,0.84375,C:\Program Files (x86)\RivaTuner Statistics Server\RTSS.exe /s,1516,True
6272,1717529975.87016,None,1717525706.5793047,0.03125,,808,False
6396,1717529975.87016,None,1717525705.5167508,0.0,,808,True
6424,1717529975.87016,DESKTOP-JII336K\claud,1717526572.3543289,4.96875,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=renderer --extension-process --no-appcompat-clear --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --lang=es --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=17 --time-ticks-at-unix-epoch=-1717525692604091 --launch-time-ticks=879749022 --field-trial-handle=7052,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=7644 /prefetch:2,13680,False
6448,1717529975.87016,None,1717525825.915056,0.71875,,808,False
6516,1717529975.87016,DESKTOP-JII336K\claud,1717526571.2055056,1.453125,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=renderer --no-appcompat-clear --start-stack-profiler --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --lang=es --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=16 --time-ticks-at-unix-epoch=-1717525692604091 --launch-time-ticks=878600149 --field-trial-handle=4136,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=4148 /prefetch:1,13680,False
6596,1717529975.87016,DESKTOP-JII336K\claud,1717525705.5785067,5.421875,ctfmon.exe,6396,False
6660,1717529975.87016,None,1717525705.603616,2.34375,,808,False
